arm,tasks,success_rate,false_accept_rate,visible_passes,false_accepts,repeated_failure_rate,diagnose_accuracy,rollback_frequency,rollbacks,time_to_fix_median_s,time_to_fix_p90_s,tokens_per_success,sim_calls_per_success,total_sim_calls,total_tokens,sds_mean,convergence_rounds,r3_triggers,proposals_total,proposals_deployed,proposals_rejected,proposals_pending_human
baseline,60,0.0,,0,0,1.0,,,0,,,,,120,23198,,,0,0,0,0,0
fixed_loop,60,0.5166666666666667,0.29545454545454547,44,13,0.9615384615384616,,,0,12.720865458999924,24.18779108800004,6021.258064516129,17.129032258064516,531,186659,,,0,0,0,0,0
meta_unguarded,60,0.3333333333333333,0.6170212765957447,47,29,0.9459459459459459,0.5119047619047619,0.0,0,10.893609744999992,23.538532564400008,8398.3,22.75,455,167966,0.35306122448979593,2.0,14,28,27,0,0
meta_governed,60,0.5833333333333334,0.2708333333333333,48,13,0.9090909090909091,0.4358974358974359,0.0,0,9.439176308000015,22.477296700400075,4894.114285714286,13.342857142857143,467,171294,0.5186813186813187,2.0,13,26,9,17,0
